Algorithm,CID,Arrival,Burst(MI),Queue,Start,Finish,TAT,WT,RT,QuantumUsed
SRDQ,0,0,251,RR,100.00,351.00,351.00,100.00,100.00,160.9
SRDQ,1,1,177,RR,351.00,528.00,527.00,350.00,350.00,282.2
SRDQ,2,2,152,SJF,528.00,680.00,678.00,526.00,526.00,N/A
SRDQ,3,3,299,RR,680.00,979.00,976.00,677.00,677.00,157.2
SRDQ,4,4,47,SJF,979.00,1089.00,1085.00,1038.00,975.00,N/A
SRDQ,5,5,84,SJF,1089.00,1199.00,1194.00,1110.00,1084.00,N/A
SRDQ,6,3,244,RR,1199.00,1443.00,1440.00,1196.00,1196.00,158.7
SRDQ,7,3,124,SJF,1443.00,1567.00,1564.00,1440.00,1440.00,N/A
SRDQ,8,4,55,SJF,1567.00,1677.00,1673.00,1618.00,1563.00,N/A
SRDQ,9,6,180,RR,1677.00,1857.00,1851.00,1671.00,1671.00,209.1
SRSQ,0,0,251,RR,0.00,1335.00,1335.00,1084.00,0.00,153.9
SRSQ,1,1,177,RR,267.00,1353.00,1352.00,1175.00,266.00,153.3
SRSQ,2,2,152,SJF,789.00,941.00,939.00,787.00,787.00,N/A
SRSQ,3,3,299,RR,634.00,1497.00,1494.00,1195.00,631.00,152.4
SRSQ,4,4,47,SJF,165.00,212.00,208.00,161.00,161.00,N/A
SRSQ,5,5,84,SJF,426.00,510.00,505.00,421.00,421.00,N/A
SRSQ,6,3,244,RR,941.00,1587.00,1584.00,1340.00,938.00,151.9
SRSQ,7,3,124,SJF,510.00,634.00,631.00,507.00,507.00,N/A
SRSQ,8,4,55,SJF,212.00,267.00,263.00,208.00,208.00,N/A
SRSQ,9,6,180,RR,1095.00,1613.00,1607.00,1427.00,1089.00,151.3
SJF,0,0,251,SJF,0.00,251.00,251.00,0.00,0.00,N/A
SJF,1,1,177,SJF,713.00,890.00,889.00,712.00,712.00,N/A
SJF,2,2,152,SJF,561.00,713.00,711.00,559.00,559.00,N/A
SJF,3,3,299,SJF,1314.00,1613.00,1610.00,1311.00,1311.00,N/A
SJF,4,4,47,SJF,251.00,298.00,294.00,247.00,247.00,N/A
SJF,5,5,84,SJF,353.00,437.00,432.00,348.00,348.00,N/A
SJF,6,3,244,SJF,1070.00,1314.00,1311.00,1067.00,1067.00,N/A
SJF,7,3,124,SJF,437.00,561.00,558.00,434.00,434.00,N/A
SJF,8,4,55,SJF,298.00,353.00,349.00,294.00,294.00,N/A
SJF,9,6,180,SJF,890.00,1070.00,1064.00,884.00,884.00,N/A
RR,0,0,251,RR,0.00,1373.00,1373.00,1122.00,0.00,164.5
RR,1,1,177,RR,165.00,1385.00,1384.00,1207.00,164.00,164.5
RR,2,2,152,RR,330.00,482.00,480.00,328.00,328.00,164.5
RR,3,3,299,RR,482.00,1519.00,1516.00,1217.00,479.00,164.5
RR,4,4,47,RR,647.00,694.00,690.00,643.00,643.00,164.5
RR,5,5,84,RR,694.00,778.00,773.00,689.00,689.00,164.5
RR,6,3,244,RR,778.00,1598.00,1595.00,1351.00,775.00,164.5
RR,7,3,124,RR,943.00,1067.00,1064.00,940.00,940.00,164.5
RR,8,4,55,RR,1067.00,1122.00,1118.00,1063.00,1063.00,164.5
RR,9,6,180,RR,1122.00,1613.00,1607.00,1427.00,1116.00,164.5
TSPBRR,0,0,251,TSPBRR,0.00,1314.00,1314.00,1063.00,0.00,26
TSPBRR,1,1,177,TSPBRR,488.00,665.00,664.00,487.00,487.00,18
TSPBRR,2,2,152,TSPBRR,336.00,488.00,486.00,334.00,334.00,16
TSPBRR,3,3,299,TSPBRR,1314.00,1613.00,1610.00,1311.00,1311.00,30
TSPBRR,4,4,47,TSPBRR,26.00,73.00,69.00,22.00,22.00,5
TSPBRR,5,5,84,TSPBRR,128.00,212.00,207.00,123.00,123.00,9
TSPBRR,6,3,244,TSPBRR,845.00,1089.00,1086.00,842.00,842.00,25
TSPBRR,7,3,124,TSPBRR,212.00,336.00,333.00,209.00,209.00,13
TSPBRR,8,4,55,TSPBRR,73.00,128.00,124.00,69.00,69.00,6
TSPBRR,9,6,180,TSPBRR,665.00,845.00,839.00,659.00,659.00,18
