Dataset,VMs,Algorithm,AvgTAT,AvgWT,AvgRT
Dataset 1,1,SRDQ,969.10,829.40,811.60
Dataset 1,1,SRSQ,755.90,616.20,371.80
Dataset 1,1,SJF,563.00,423.30,423.30
Dataset 1,1,RR,909.50,769.80,443.50
Dataset 1,1,TSPBRR,563.00,423.30,423.30
Dataset 1,2,SRDQ,603.60,463.90,436.60
Dataset 1,2,SRSQ,755.90,616.20,371.80
Dataset 1,2,SJF,563.00,423.30,423.30
Dataset 1,2,RR,909.50,769.80,443.50
Dataset 1,2,TSPBRR,563.00,423.30,423.30
Dataset 1,3,SRDQ,514.80,375.10,327.80
Dataset 1,3,SRSQ,755.90,616.20,371.80
Dataset 1,3,SJF,563.00,423.30,423.30
Dataset 1,3,RR,909.50,769.80,443.50
Dataset 1,3,TSPBRR,563.00,423.30,423.30
Dataset 2,1,SRDQ,1133.90,972.60,958.20
Dataset 2,1,SRSQ,991.80,830.50,500.80
Dataset 2,1,SJF,746.90,585.60,585.60
Dataset 2,1,RR,1160.00,998.70,619.70
Dataset 2,1,TSPBRR,673.20,511.90,405.60
Dataset 2,2,SRDQ,731.10,569.80,530.50
Dataset 2,2,SRSQ,991.80,830.50,500.80
Dataset 2,2,SJF,746.90,585.60,585.60
Dataset 2,2,RR,1160.00,998.70,619.70
Dataset 2,2,TSPBRR,673.20,511.90,405.60
Dataset 2,3,SRDQ,563.30,402.00,373.50
Dataset 2,3,SRSQ,991.80,830.50,500.80
Dataset 2,3,SJF,746.90,585.60,585.60
Dataset 2,3,RR,1160.00,998.70,619.70
Dataset 2,3,TSPBRR,673.20,511.90,405.60
Dataset 3,1,SRDQ,787.10,711.90,667.40
Dataset 3,1,SRSQ,394.10,318.90,165.40
Dataset 3,1,SJF,266.30,191.10,191.10
Dataset 3,1,RR,497.50,422.30,234.60
Dataset 3,1,TSPBRR,266.20,191.00,182.80
Dataset 3,2,SRDQ,525.00,449.80,393.00
Dataset 3,2,SRSQ,394.10,318.90,165.40
Dataset 3,2,SJF,266.30,191.10,191.10
Dataset 3,2,RR,497.50,422.30,234.60
Dataset 3,2,TSPBRR,266.20,191.00,182.80
Dataset 3,3,SRDQ,404.00,328.80,272.00
Dataset 3,3,SRSQ,394.10,318.90,165.40
Dataset 3,3,SJF,266.30,191.10,191.10
Dataset 3,3,RR,497.50,422.30,234.60
Dataset 3,3,TSPBRR,266.20,191.00,182.80
